Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
0          196             0.14              0.154             0.14              143.458           0                 
1          35              0.38              0.394             0.38              12.261            0                 
2          455             0.815             0.829             0.815             35.219            0                 
3          283             0.889             0.903             0.889             125.342           0                 
4          275             0.925             0.925             0.925             273.954           0                 
5          378             0.958             0.958             0.958             16.884            0                 
6          139             0.987             0.987             0.987             230.368           0                 
7          163             1.167             1.167             1.167             99.744            0                 
8          361             1.189             1.189             1.189             16.971            0                 
9          5               1.334             1.334             1.334             66.848            0                 
10         82              1.367             1.367             1.367             422.156           0                 
11         128             1.39              1.39              1.39              227.893           0                 
12         349             1.527             1.527             1.527             85.693            0                 
13         306             1.563             1.563             1.563             35.476            0                 
14         54              1.59              1.59              1.59              40.234            0                 
15         302             1.711             1.711             1.711             72.367            0                 
16         192             1.9               1.9               1.9               16.994            0                 
17         126             2.004             2.004             2.004             304.794           0                 
18         267             2.064             2.106             2.064             8.372             0                 
19         212             2.182             2.182             2.182             190.032           0                 
20         121             2.287             2.329             2.287             127.636           0                 
21         154             2.528             2.528             2.528             143.485           0                 
22         315             2.689             2.731             2.689             22.291            0                 
23         114             2.926             2.926             2.926             52.642            0                 
24         162             2.957             2.957             2.957             270.287           0                 
25         227             3.03              3.03              3.03              205.939           0                 
26         68              3.145             3.145             3.145             17.693            0                 
27         450             3.229             3.229             3.229             39.439            0                 
28         185             3.235             3.235             3.235             254.359           0                 
29         189             3.328             3.328             3.328             30.564            0                 
30         183             3.457             3.457             3.457             289.195           0                 
31         29              3.561             3.561             3.561             19.636            0                 
32         171             4.117             4.117             4.117             82.646            0                 
33         34              4.237             4.251             4.237             64.693            0                 
34         165             4.289             4.359             4.289             8.533             0                 
35         11              4.66              4.66              4.66              91.704            0                 
36         319             4.914             4.914             4.914             37.561            0                 
37         217             4.921             4.921             4.921             135.449           0                 
38         39              4.95              4.95              4.95              151.615           0                 
39         219             4.967             5.037             4.967             9.171             0                 
40         419             5.411             5.411             5.411             264.318           0                 
41         329             5.452             5.452             5.452             160.142           0                 
42         307             5.619             5.619             5.619             355.416           0                 
43         57              5.627             5.641             5.627             194.421           0                 
44         270             5.786             5.786             5.786             119.397           0                 
45         324             5.837             5.837             5.837             218.461           0                 
46         314             6.224             6.322             6.224             8.895             0                 
47         80              6.287             6.315             6.287             344.028           0                 
48         400             6.433             6.447             6.433             41.294            0                 
49         30              6.589             6.603             6.589             223.982           0                 
50         333             6.621             6.649             6.621             285.922           0                 
51         28              6.637             6.651             6.637             150.064           0                 
52         436             6.689             6.787             6.689             27.725            0                 
53         48              6.763             6.791             6.763             151.334           0                 
54         291             6.782             6.796             6.782             18.514            0                 
55         422             6.79              6.804             6.79              143.892           0                 
56         294             6.803             6.901             6.803             8.832             0                 
57         24              7.189             7.203             7.189             286.189           0                 
58         362             7.255             7.283             7.255             255.294           0                 
59         356             7.289             7.331             7.289             199.823           0                 
60         179             7.361             7.403             7.361             247.792           0                 
61         22              7.418             7.446             7.418             268.939           0                 
62         101             7.477             7.519             7.477             93.159            0                 
63         236             7.603             7.715             7.603             192.708           0                 
64         313             7.716             7.828             7.716             8.986             0                 
65         167             7.818             7.846             7.818             255.692           0                 
66         148             7.875             7.917             7.875             323.973           0                 
67         145             7.958             8.07              7.958             232.892           0                 
68         454             7.972             8.084             7.972             18.972            0                 
69         8               8.405             8.461             8.405             196.527           0                 
70         312             8.722             8.848             8.722             26.19             0                 
71         241             8.731             8.787             8.731             164.977           0                 
72         423             8.876             8.932             8.876             458.217           0                 
73         327             8.888             8.916             8.888             345.539           0                 
74         118             8.903             8.945             8.903             330.742           0                 
75         10              8.993             9.035             8.993             27.288            0                 
76         393             9                 9.056             9                 146.402           0                 
77         380             9.039             9.179             9.039             9.456             0                 
78         305             9.047             9.103             9.047             85.884            0                 
79         95              9.207             9.277             9.207             31.912            0                 
80         451             9.48              9.55              9.48              549.681           0                 
81         108             9.485             9.541             9.485             178.922           0                 
82         132             9.548             9.604             9.548             338.58            0                 
83         96              9.663             9.719             9.663             30.529            0                 
84         381             9.997             10.137            9.997             9.523             0                 
85         389             10.983            11.137            10.983            121.532           0                 
86         103             10.985            11.139            10.985            17.529            0                 
87         442             11.437            11.507            11.437            194.801           0                 
88         109             11.51             11.608            11.51             150.531           0                 
89         12              11.561            11.645            11.561            164.326           0                 
90         43              12.164            12.346            12.164            9.348             0                 
91         412             12.611            12.709            12.611            564.798           0                 
92         366             12.952            13.134            12.952            162.837           0                 
93         261             13.918            14.114            13.918            320.979           0                 
94         231             13.922            14.034            13.922            246.901           0                 
95         277             14.715            14.827            14.715            104.757           0                 
96         357             15.201            15.369            15.201            153.66            0                 
97         268             15.685            15.825            15.685            419.309           0                 
98         134             15.79             16.014            15.79             9.823             0                 
99         181             16.177            16.331            16.177            291.615           0                 
100        88              17.649            17.831            17.649            21.381            0                 
101        56              18.196            18.378            18.196            391.836           0                 
102        4               18.442            18.638            18.442            260.412           0                 
103        351             19.789            19.985            19.789            67.223            0                 
104        269             20.037            20.233            20.037            279.618           0                 
105        320             20.599            20.823            20.599            120.234           0                 
106        369             20.927            21.137            20.927            228.237           0                 
107        144             21.479            21.717            21.479            225.882           0                 
108        200             21.503            21.755            21.503            143.945           0                 
109        439             21.731            21.941            21.731            204.255           0                 
110        276             22.155            22.407            22.155            256.027           0                 
111        202             22.222            22.46             22.222            257.528           0                 
112        234             22.433            22.685            22.433            408.884           0                 
113        411             22.965            23.203            22.965            297.898           0                 
114        348             23.538            23.776            23.538            144.372           0                 
115        316             23.651            23.903            23.651            284.129           0                 
116        6               23.827            24.079            23.827            74.779            0                 
117        1               24.288            24.554            24.288            94.14             0                 
118        176             24.406            24.756            24.406            29.81             0                 
119        409             24.621            24.971            24.621            10.742            0                 
120        446             24.776            25.028            24.776            290.063           0                 
121        336             24.803            25.069            24.803            204.592           0                 
122        352             24.812            25.078            24.812            234.586           0                 
123        414             25.16             25.426            25.16             417.876           0                 
124        386             25.163            25.443            25.163            189.588           0                 
125        285             25.243            25.523            25.243            258.507           0                 
126        112             25.667            25.947            25.667            472.516           0                 
127        358             25.732            26.026            25.732            275.215           0                 
128        31              25.746            26.04             25.746            94.211            0                 
129        21              26.049            26.343            26.049            120.53            0                 
130        152             26.361            26.655            26.361            64.668            0                 
131        91              26.462            26.756            26.462            469.491           0                 
132        104             26.708            27.002            26.708            41.497            0                 
