Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
0          196             0.14              0.14              0.14              8.247             0                 
1          35              0.38              0.38              0.38              17.606            0                 
2          455             0.815             0.815             0.815             8.36              0                 
3          283             0.889             0.889             0.889             15.177            0                 
4          275             0.925             0.925             0.925             12.436            0                 
5          378             0.958             0.958             0.958             12.501            0                 
6          139             0.987             0.987             0.987             12.453            0                 
7          163             1.167             1.167             1.167             12.453            0                 
8          361             1.189             1.189             1.189             12.589            0                 
9          5               1.334             1.334             1.334             12.615            0                 
10         82              1.367             1.367             1.367             12.475            0                 
11         128             1.39              1.39              1.39              13.952            0                 
12         349             1.527             1.527             1.527             8.293             0                 
13         306             1.563             1.563             1.563             12.867            0                 
14         54              1.59              1.59              1.59              12.479            0                 
15         302             1.711             1.711             1.711             8.315             0                 
16         192             1.9               1.9               1.9               12.521            0                 
17         126             2.004             2.004             2.004             12.568            0                 
18         267             2.064             2.064             2.064             8.465             0                 
19         212             2.182             2.182             2.182             12.591            0                 
20         121             2.287             2.287             2.287             8.838             0                 
21         154             2.528             2.528             2.528             12.57             0                 
22         315             2.689             2.689             2.689             8.418             0                 
23         114             2.926             2.926             2.926             12.603            0                 
24         162             2.957             2.957             2.957             8.428             0                 
25         227             3.03              3.03              3.03              12.62             0                 
26         68              3.145             3.145             3.145             12.714            0                 
27         450             3.229             3.229             3.229             12.669            0                 
28         185             3.235             3.235             3.235             12.652            0                 
29         189             3.328             3.328             3.328             8.479             0                 
30         183             3.457             3.457             3.457             12.731            0                 
31         29              3.561             3.561             3.561             12.762            0                 
32         171             4.117             4.117             4.117             12.703            0                 
33         34              4.237             4.237             4.237             12.707            0                 
34         165             4.289             4.289             4.289             8.531             0                 
35         11              4.66              4.66              4.66              13.846            0                 
36         319             4.914             4.914             4.914             12.784            0                 
37         217             4.921             4.921             4.921             12.997            0                 
38         39              4.95              4.95              4.95              12.779            0                 
39         219             4.967             4.967             4.967             8.598             0                 
40         419             5.411             5.411             5.411             13.224            0                 
41         329             5.452             5.452             5.452             12.83             0                 
42         307             5.619             5.619             5.619             13.786            0                 
43         57              5.627             5.627             5.627             8.641             0                 
44         270             5.786             5.786             5.786             12.838            0                 
45         324             5.837             5.837             5.837             12.928            0                 
46         314             6.224             6.224             6.224             8.779             0                 
47         80              6.287             6.287             6.287             13.478            0                 
48         400             6.433             6.433             6.433             12.969            0                 
49         30              6.589             6.589             6.589             12.938            0                 
50         333             6.621             6.621             6.621             12.933            0                 
51         28              6.637             6.637             6.637             13.086            0                 
52         436             6.689             6.689             6.689             8.903             0                 
53         48              6.763             6.763             6.763             14.433            0                 
54         291             6.782             6.782             6.782             13.158            0                 
55         422             6.79              6.79              6.79              13.018            0                 
56         294             6.803             6.803             6.803             8.746             0                 
57         24              7.189             7.189             7.189             8.825             0                 
58         362             7.255             7.255             7.255             13.424            0                 
59         356             7.289             7.289             7.289             12.961            0                 
60         179             7.361             7.361             7.361             13.365            0                 
61         22              7.418             7.418             7.418             12.967            0                 
62         101             7.477             7.477             7.477             12.969            0                 
63         236             7.603             7.603             7.603             30.843            0                 
64         313             7.716             7.716             7.716             8.841             0                 
65         167             7.818             7.818             7.818             13.603            0                 
66         148             7.875             7.875             7.875             14.15             0                 
67         145             7.958             7.958             7.958             13.284            0                 
68         454             7.972             7.972             7.972             8.851             0                 
69         8               8.405             8.405             8.405             13.175            0                 
70         312             8.722             8.722             8.722             13.159            0                 
71         241             8.731             8.731             8.731             13.167            0                 
72         423             8.876             8.876             8.876             14.123            0                 
73         327             8.888             8.888             8.888             9.43              0                 
74         118             8.903             8.903             8.903             13.625            0                 
75         10              8.993             8.993             8.993             13.648            0                 
76         393             9                 9                 9                 8.938             0                 
77         380             9.039             9.039             9.039             8.943             0                 
