Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
0          196             0.14              0.14              0.14              8.252             0                 
1          35              0.38              0.38              0.38              17.606            0                 
2          455             0.815             0.815             0.815             8.334             0                 
3          283             0.889             0.889             0.889             8.434             0                 
4          275             0.925             0.925             0.925             12.609            0                 
5          378             0.958             0.958             0.958             12.501            0                 
6          139             0.987             0.987             0.987             12.438            0                 
7          163             1.167             1.167             1.167             12.453            0                 
8          361             1.189             1.189             1.189             12.541            0                 
9          5               1.334             1.334             1.334             12.528            0                 
10         82              1.367             1.367             1.367             12.461            0                 
11         128             1.39              1.39              1.39              12.548            0                 
12         349             1.527             1.527             1.527             8.378             0                 
13         306             1.563             1.563             1.563             18.045            0                 
14         54              1.59              1.59              1.59              12.479            0                 
15         302             1.711             1.711             1.711             8.399             0                 
16         192             1.9               1.9               1.9               14.485            0                 
17         126             2.004             2.004             2.004             12.639            0                 
18         267             2.064             2.064             2.064             8.401             0                 
19         212             2.182             2.182             2.182             12.666            0                 
20         121             2.287             2.287             2.287             8.848             0                 
21         154             2.528             2.528             2.528             12.68             0                 
22         315             2.689             2.689             2.689             8.418             0                 
23         114             2.926             2.926             2.926             12.603            0                 
24         162             2.957             2.957             2.957             8.433             0                 
25         227             3.03              3.03              3.03              12.665            0                 
26         68              3.145             3.145             3.145             12.624            0                 
27         450             3.229             3.229             3.229             12.791            0                 
28         185             3.235             3.235             3.235             12.751            0                 
29         189             3.328             3.328             3.328             8.449             0                 
30         183             3.457             3.457             3.457             12.681            0                 
31         29              3.561             3.561             3.561             12.855            0                 
32         171             4.117             4.117             4.117             12.705            0                 
33         34              4.237             4.237             4.237             12.796            0                 
34         165             4.289             4.289             4.289             8.531             0                 
35         11              4.66              4.66              4.66              10.923            0                 
36         319             4.914             4.914             4.914             12.853            0                 
37         217             4.921             4.921             4.921             12.86             0                 
38         39              4.95              4.95              4.95              12.94             0                 
39         219             4.967             4.967             4.967             8.598             0                 
40         419             5.411             5.411             5.411             13.289            0                 
41         329             5.452             5.452             5.452             12.973            0                 
42         307             5.619             5.619             5.619             16.035            0                 
43         57              5.627             5.627             5.627             8.977             0                 
44         270             5.786             5.786             5.786             12.849            0                 
45         324             5.837             5.837             5.837             13.142            0                 
46         314             6.224             6.224             6.224             8.811             0                 
47         80              6.287             6.287             6.287             13.527            0                 
48         400             6.433             6.433             6.433             12.969            0                 
49         30              6.589             6.589             6.589             13.093            0                 
50         333             6.621             6.621             6.621             12.948            0                 
