Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
0          329             64000             64895.5           64000             132874            0                 
1          344             64000             64896             64000             102382            0                 
2          343             64000             64895.9           64000             132368            0                 
3          342             64000             64892.9           64000             89693.7           0                 
4          341             64000             64895.8           64000             114454            0                 
5          340             64000             64895.8           64000             132569            0                 
6          339             64000             64895.9           64000             158843            0                 
7          338             64000             64895.7           64000             155821            0                 
8          337             64000             64895.5           64000             158464            0                 
9          336             64000             64895.4           64000             129390            0                 
10         335             64000             64896             64000             16749.9           0                 
11         334             64000             64896             64000             16768.7           0                 
12         333             64000             64896             64000             17425.3           0                 
13         332             64000             64895.6           64000             132774            0                 
14         331             64000             64895.6           64000             131817            0                 
15         330             64000             64895.6           64000             131831            0                 
16         345             64000             64895.4           64000             115360            0                 
17         328             64000             64896             64000             175322            0                 
18         327             64000             64896             64000             177037            0                 
19         326             64000             64895.7           64000             172044            0                 
20         325             64000             64895.9           64000             158478            0                 
21         324             64000             64895.9           64000             158517            0                 
22         323             64000             64896             64000             6912.95           0                 
23         322             64000             64895.8           64000             160100            0                 
24         321             64000             64895.8           64000             114389            0                 
25         320             64000             64895.3           64000             115409            0                 
26         319             64000             64895.9           64000             132730            0                 
27         318             64000             64895.9           64000             174268            0                 
28         317             64000             64894.5           64000             133565            0                 
29         316             64000             64893.1           64000             151148            0                 
30         315             64000             64893.1           64000             155611            0                 
31         314             64000             64893.1           64000             135218            0                 
32         360             64000             64895.4           64000             114891            0                 
33         375             64000             64893.1           64000             148912            0                 
34         374             64000             64893.1           64000             145326            0                 
35         373             64000             64893.2           64000             174761            0                 
36         372             64000             64894.6           64000             149365            0                 
37         371             64000             64894.5           64000             141209            0                 
38         370             64000             64895.8           64000             146809            0                 
39         369             64000             64895.8           64000             161431            0                 
40         368             64000             64895.9           64000             133221            0                 
41         367             64000             64895.9           64000             133600            0                 
42         366             64000             64895.9           64000             174837            0                 
43         365             64000             64896             64000             145168            0                 
44         364             64000             64895.8           64000             146829            0                 
45         363             64000             64895.8           64000             141244            0                 
46         362             64000             64895.9           64000             146639            0                 
47         361             64000             64895.9           64000             131397            0                 
48         313             64000             64893.1           64000             135156            0                 
49         359             64000             64895.8           64000             132449            0                 
50         358             64000             64895.9           64000             132958            0                 
51         357             64000             64895.9           64000             132601            0                 
52         356             64000             64895.9           64000             174481            0                 
53         355             64000             64895.9           64000             157409            0                 
54         354             64000             64895.9           64000             157193            0                 
55         353             64000             64896             64000             11361.4           0                 
56         352             64000             64895.8           64000             132910            0                 
57         351             64000             64895.9           64000             131494            0                 
58         350             64000             64895.9           64000             176474            0                 
59         349             64000             64892.8           64000             109132            0                 
60         348             64000             64895.8           64000             158468            0                 
61         347             64000             64895.8           64000             133295            0                 
62         346             64000             64895.9           64000             133096            0                 
63         266             64000             64896             64000             23689             0                 
64         281             64000             64895.8           64000             182102            0                 
65         280             64000             64895.9           64000             182629            0                 
66         279             64000             64895.8           64000             181363            0                 
67         278             64000             64895.8           64000             175332            0                 
68         277             64000             64896             64000             8962.06           0                 
69         276             64000             64895.8           64000             143762            0                 
70         275             64000             64895.5           64000             144085            0                 
71         274             64000             64895.8           64000             142050            0                 
72         273             64000             64895.8           64000             159371            0                 
73         272             64000             64895.8           64000             178701            0                 
74         271             64000             64895.7           64000             182170            0                 
75         270             64000             64895.4           64000             180076            0                 
76         269             64000             64895.4           64000             175185            0                 
77         268             64000             64895.4           64000             175319            0                 
78         267             64000             64895.5           64000             185276            0                 
79         282             64000             64895.8           64000             97455.8           0                 
80         265             64000             64896             64000             18205.7           0                 
81         264             64000             64896             64000             22425.4           0                 
82         263             64000             64896             64000             23428.6           0                 
83         262             64000             64895.4           64000             163205            0                 
84         261             64000             64895.3           64000             164415            0                 
85         260             64000             64895.3           64000             139815            0                 
86         259             64000             64895.4           64000             161878            0                 
87         258             64000             64895.4           64000             163084            0                 
88         257             64000             64895.8           64000             111120            0                 
89         256             64000             64895.9           64000             180829            0                 
90         255             64000             64895.9           64000             178388            0                 
91         254             64000             64895.8           64000             182675            0                 
92         253             64000             64895.8           64000             184188            0                 
93         252             64000             64895.8           64000             189053            0                 
94         297             64000             64895.9           64000             172664            0                 
95         312             64000             64893.1           64000             168931            0                 
96         311             64000             64893.2           64000             132875            0                 
97         310             64000             64894.5           64000             134008            0                 
98         309             64000             64894.7           64000             132483            0                 
99         308             64000             64895.9           64000             180166            0                 
100        307             64000             64895.9           64000             181965            0                 
101        306             64000             64895.8           64000             111268            0                 
102        305             64000             64895.8           64000             174341            0                 
103        304             64000             64896             64000             185063            0                 
104        303             64000             64895.9           64000             188703            0                 
105        302             64000             64895.9           64000             106976            0                 
106        301             64000             64895.9           64000             164539            0                 
107        300             64000             64895.8           64000             143917            0                 
108        299             64000             64895.9           64000             163104            0                 
109        298             64000             64895.9           64000             163086            0                 
110        376             64000             64893.6           64000             152907            0                 
111        296             64000             64895.9           64000             174930            0                 
112        295             64000             64895.8           64000             184985            0                 
