Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
0          329             64000             64000             64000             346641            0                 
1          344             64000             64000             64000             47791.9           0                 
2          343             64000             64000             64000             247386            0                 
3          342             64000             64000             64000             189055            0                 
4          341             64000             64000             64000             154728            0                 
5          340             64000             64000             64000             362439            0                 
6          339             64000             64000             64000             343268            0                 
7          338             64000             64000             64000             352099            0                 
8          337             64000             64000             64000             371512            0                 
9          336             64000             64000             64000             178162            0                 
10         335             64000             64000             64000             188551            0                 
11         334             64000             64000             64000             335011            0                 
12         333             64000             64000             64000             333425            0                 
13         332             64000             64000             64000             367924            0                 
14         331             64000             64000             64000             325803            0                 
15         330             64000             64000             64000             351382            0                 
16         345             64000             64000             64000             276324            0                 
17         328             64000             64000             64000             414445            0                 
18         327             64000             64000             64000             436150            0                 
19         326             64000             64000             64000             286061            0                 
20         325             64000             64000             64000             390461            0                 
21         324             64000             64000             64000             377886            0                 
22         323             64000             64000             64000             28158.1           0                 
23         322             64000             64000             64000             194200            0                 
24         321             64000             64000             64000             272930            0                 
25         320             64000             64000             64000             327433            0                 
26         319             64000             64000             64000             213660            0                 
27         318             64000             64000             64000             350064            0                 
28         317             64000             64000             64000             299160            0                 
29         316             64000             64000             64000             147203            0                 
30         315             64000             64000             64000             223765            0                 
31         314             64000             64000             64000             232656            0                 
32         360             64000             64000             64000             240353            0                 
33         375             64000             64000             64000             205577            0                 
34         374             64000             64000             64000             283389            0                 
35         373             64000             64000             64000             178591            0                 
36         372             64000             64000             64000             321582            0                 
37         371             64000             64000             64000             432652            0                 
38         370             64000             64000             64000             263309            0                 
39         369             64000             64000             64000             264280            0                 
40         368             64000             64000             64000             365805            0                 
41         367             64000             64000             64000             271169            0                 
42         366             64000             64000             64000             219630            0                 
43         365             64000             64000             64000             229435            0                 
44         364             64000             64000             64000             266589            0                 
45         363             64000             64000             64000             305932            0                 
46         362             64000             64000             64000             254247            0                 
47         361             64000             64000             64000             167392            0                 
48         313             64000             64000             64000             223369            0                 
49         359             64000             64000             64000             296357            0                 
50         358             64000             64000             64000             278518            0                 
51         357             64000             64000             64000             312014            0                 
52         356             64000             64000             64000             356949            0                 
53         355             64000             64000             64000             252973            0                 
54         354             64000             64000             64000             299716            0                 
55         353             64000             64000             64000             182392            0                 
56         352             64000             64000             64000             241421            0                 
57         351             64000             64000             64000             78445.2           0                 
58         350             64000             64000             64000             282606            0                 
59         349             64000             64000             64000             187828            0                 
60         348             64000             64000             64000             241110            0                 
61         347             64000             64000             64000             146905            0                 
62         346             64000             64000             64000             139208            0                 
63         266             64000             64000             64000             306833            0                 
64         281             64000             64000             64000             376147            0                 
65         280             64000             64000             64000             252354            0                 
66         279             64000             64000             64000             297027            0                 
67         278             64000             64000             64000             279161            0                 
68         277             64000             64000             64000             174289            0                 
69         276             64000             64000             64000             362545            0                 
70         275             64000             64000             64000             192558            0                 
71         274             64000             64000             64000             253011            0                 
72         273             64000             64000             64000             243122            0                 
73         272             64000             64000             64000             374020            0                 
74         271             64000             64000             64000             176917            0                 
75         270             64000             64000             64000             99503.2           0                 
76         269             64000             64000             64000             101822            0                 
77         268             64000             64000             64000             361391            0                 
78         267             64000             64000             64000             349413            0                 
79         282             64000             64000             64000             228471            0                 
80         265             64000             64000             64000             352541            0                 
81         264             64000             64000             64000             250931            0                 
82         263             64000             64000             64000             245706            0                 
83         262             64000             64000             64000             258506            0                 
84         261             64000             64000             64000             253180            0                 
85         260             64000             64000             64000             382445            0                 
86         259             64000             64000             64000             279995            0                 
87         258             64000             64000             64000             319002            0                 
88         257             64000             64000             64000             121477            0                 
89         256             64000             64000             64000             373533            0                 
90         255             64000             64000             64000             152986            0                 
91         254             64000             64000             64000             274843            0                 
92         253             64000             64000             64000             339151            0                 
93         252             64000             64000             64000             385427            0                 
94         297             64000             64000             64000             290813            0                 
95         312             64000             64000             64000             197264            0                 
96         311             64000             64000             64000             293082            0                 
97         310             64000             64000             64000             263058            0                 
98         309             64000             64000             64000             311743            0                 
99         308             64000             64000             64000             263956            0                 
100        307             64000             64000             64000             294262            0                 
101        306             64000             64000             64000             370027            0                 
102        305             64000             64000             64000             316694            0                 
103        304             64000             64000             64000             367488            0                 
104        303             64000             64000             64000             370939            0                 
105        302             64000             64000             64000             250942            0                 
106        301             64000             64000             64000             384487            0                 
107        300             64000             64000             64000             300222            0                 
108        299             64000             64000             64000             392285            0                 
109        298             64000             64000             64000             408683            0                 
