Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
0          329             64000             64000             64000             112673            0                 
1          344             64000             64000             64000             10387.5           0                 
2          343             64000             64000             64000             69968.9           0                 
3          342             64000             64000             64000             58702.2           0                 
4          341             64000             64000             64000             54121.1           0                 
5          340             64000             64000             64000             119589            0                 
6          339             64000             64000             64000             113591            0                 
7          338             64000             64000             64000             109715            0                 
8          337             64000             64000             64000             119402            0                 
9          336             64000             64000             64000             22555.8           0                 
10         335             64000             64000             64000             57040.7           0                 
11         334             64000             64000             64000             92519.6           0                 
12         333             64000             64000             64000             69817.1           0                 
13         332             64000             64000             64000             121107            0                 
14         331             64000             64000             64000             112790            0                 
15         330             64000             64000             64000             112876            0                 
16         345             64000             64000             64000             84218.3           0                 
17         328             64000             64000             64000             139797            0                 
18         327             64000             64000             64000             142995            0                 
19         326             64000             64000             64000             86402.2           0                 
20         325             64000             64000             64000             129120            0                 
21         324             64000             64000             64000             124119            0                 
22         323             64000             64000             64000             8399.45           0                 
23         322             64000             64000             64000             69019.8           0                 
24         321             64000             64000             64000             81228.7           0                 
25         320             64000             64000             64000             101752            0                 
26         319             64000             64000             64000             60569.6           0                 
27         318             64000             64000             64000             135338            0                 
28         317             64000             64000             64000             92688.2           0                 
29         316             64000             64000             64000             41139.4           0                 
30         315             64000             64000             64000             61461             0                 
31         314             64000             64000             64000             66351             0                 
32         360             64000             64000             64000             91075.2           0                 
33         375             64000             64000             64000             66083.5           0                 
34         374             64000             64000             64000             88335             0                 
35         373             64000             64000             64000             40009.4           0                 
36         372             64000             64000             64000             101714            0                 
37         371             64000             64000             64000             139664            0                 
38         370             64000             64000             64000             84592.4           0                 
39         369             64000             64000             64000             84636.9           0                 
40         368             64000             64000             64000             109880            0                 
41         367             64000             64000             64000             87138.3           0                 
42         366             64000             64000             64000             79729.9           0                 
43         365             64000             64000             64000             67950.6           0                 
44         364             64000             64000             64000             64153.3           0                 
45         363             64000             64000             64000             94328.6           0                 
46         362             64000             64000             64000             79460.1           0                 
47         361             64000             64000             64000             79835.3           0                 
48         313             64000             64000             64000             73292.4           0                 
49         359             64000             64000             64000             96299             0                 
50         358             64000             64000             64000             93334.8           0                 
51         357             64000             64000             64000             104444            0                 
52         356             64000             64000             64000             111224            0                 
53         355             64000             64000             64000             84435.4           0                 
54         354             64000             64000             64000             116213            0                 
55         353             64000             64000             64000             24069             0                 
56         352             64000             64000             64000             78305.1           0                 
57         351             64000             64000             64000             35793.1           0                 
58         350             64000             64000             64000             82004.6           0                 
59         349             64000             64000             64000             55742.4           0                 
60         348             64000             64000             64000             70757.4           0                 
61         347             64000             64000             64000             41221.4           0                 
62         346             64000             64000             64000             25222.7           0                 
63         266             64000             64000             64000             82138.9           0                 
64         281             64000             64000             64000             120670            0                 
65         280             64000             64000             64000             70077.4           0                 
66         279             64000             64000             64000             95285.7           0                 
67         278             64000             64000             64000             89865.6           0                 
68         277             64000             64000             64000             60313.4           0                 
69         276             64000             64000             64000             115482            0                 
70         275             64000             64000             64000             73637.5           0                 
71         274             64000             64000             64000             69443.4           0                 
72         273             64000             64000             64000             64970.2           0                 
73         272             64000             64000             64000             127553            0                 
74         271             64000             64000             64000             47027.3           0                 
75         270             64000             64000             64000             22482.1           0                 
76         269             64000             64000             64000             21063.8           0                 
77         268             64000             64000             64000             119436            0                 
78         267             64000             64000             64000             115610            0                 
79         282             64000             64000             64000             48319.8           0                 
80         265             64000             64000             64000             63738.7           0                 
81         264             64000             64000             64000             79770.1           0                 
82         263             64000             64000             64000             79208.4           0                 
83         262             64000             64000             64000             80388.5           0                 
84         261             64000             64000             64000             67962.6           0                 
85         260             64000             64000             64000             126267            0                 
86         259             64000             64000             64000             102621            0                 
87         258             64000             64000             64000             119356            0                 
88         257             64000             64000             64000             79512.7           0                 
89         256             64000             64000             64000             124990            0                 
90         255             64000             64000             64000             77690.2           0                 
91         254             64000             64000             64000             83609.5           0                 
92         253             64000             64000             64000             110688            0                 
93         252             64000             64000             64000             122993            0                 
94         297             64000             64000             64000             82648.4           0                 
95         312             64000             64000             64000             31137.7           0                 
96         311             64000             64000             64000             88795             0                 
97         310             64000             64000             64000             91757.6           0                 
98         309             64000             64000             64000             93221.8           0                 
99         308             64000             64000             64000             74970.6           0                 
100        307             64000             64000             64000             89662.8           0                 
101        306             64000             64000             64000             119998            0                 
102        305             64000             64000             64000             81277.3           0                 
103        304             64000             64000             64000             127482            0                 
104        303             64000             64000             64000             128435            0                 
105        302             64000             64000             64000             78779.3           0                 
106        301             64000             64000             64000             124213            0                 
107        300             64000             64000             64000             58282.9           0                 
108        299             64000             64000             64000             136208            0                 
109        298             64000             64000             64000             135837            0                 
110        376             64000             64000             64000             98664.4           0                 
111        296             64000             64000             64000             82305.8           0                 
112        295             64000             64000             64000             127263            0                 
113        294             64000             64000             64000             81175.5           0                 
114        293             64000             64000             64000             21966.6           0                 
115        292             64000             64000             64000             32620.3           0                 
116        291             64000             64000             64000             84046.5           0                 
117        290             64000             64000             64000             96391.8           0                 
118        289             64000             64000             64000             85397.8           0                 
119        288             64000             64000             64000             109062            0                 
120        287             64000             64000             64000             61841.7           0                 
121        286             64000             64000             64000             131055            0                 
122        285             64000             64000             64000             88644.6           0                 
123        284             64000             64000             64000             116279            0                 
124        283             64000             64000             64000             122839            0                 
125        454             64000             64000             64000             74481             0                 
126        469             64000             64000             64000             16733.7           0                 
127        468             64000             64000             64000             122912            0                 
128        467             64000             64000             64000             117318            0                 
129        466             64000             64000             64000             111633            0                 
130        465             64000             64000             64000             79820.8           0                 
131        464             64000             64000             64000             87417.5           0                 
132        463             64000             64000             64000             150765            0                 
133        462             64000             64000             64000             93800.7           0                 
134        461             64000             64000             64000             55000.9           0                 
135        460             64000             64000             64000             94963.4           0                 
136        459             64000             64000             64000             50348.2           0                 
137        458             64000             64000             64000             81056.1           0                 
138        457             64000             64000             64000             40671             0                 
139        456             64000             64000             64000             23327             0                 
140        455             64000             64000             64000             90234.2           0                 
141        470             64000             64000             64000             109370            0                 
142        453             64000             64000             64000             107315            0                 
143        452             64000             64000             64000             31537.6           0                 
144        451             64000             64000             64000             72457.4           0                 
